                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.3404,                 1.6243,                 1.2544,                0.58485,                 0.4511,                0.47877,                0.18884,                  2.224,                 1.5437,                 1.2089,             0.00097629,             0.00097629,             0.00097629
                     35,                 2.3362,                 1.6224,                 1.2538,                0.59296,                0.44441,                0.47108,                 0.1788,                 2.2732,                  1.559,                 1.2251,             0.00096215,             0.00096215,             0.00096215
                     36,                 2.3097,                 1.5946,                 1.2416,                0.58009,                 0.4592,                0.48954,                0.19105,                 2.2133,                 1.5231,                 1.2092,               0.000948,               0.000948,               0.000948
                     37,                 2.2926,                 1.6176,                 1.2417,                0.61063,                0.46695,                0.50005,                0.19841,                 2.2071,                 1.4993,                 1.2076,             0.00093385,             0.00093385,             0.00093385
                     38,                 2.3245,                 1.6103,                 1.2363,                0.58373,                0.44491,                0.49358,                0.19478,                 2.1919,                 1.5201,                 1.1962,              0.0009197,              0.0009197,              0.0009197
                     39,                 2.3017,                 1.6056,                 1.2442,                0.54933,                 0.4939,                0.48302,                0.18646,                 2.2045,                 1.6076,                 1.1987,             0.00090556,             0.00090556,             0.00090556
                     40,                 2.2904,                 1.5892,                 1.2256,                0.53881,                0.42925,                0.45495,                0.18014,                 2.2526,                 1.5451,                 1.2323,             0.00089141,             0.00089141,             0.00089141
                     41,                 2.2981,                 1.6089,                 1.2468,                0.57945,                0.44889,                0.48217,                0.18841,                 2.2027,                 1.5556,                 1.1943,             0.00087726,             0.00087726,             0.00087726
                     42,                 2.3135,                 1.5986,                 1.2338,                0.58432,                0.45183,                0.47612,                0.18268,                 2.2574,                 1.5157,                 1.2297,             0.00086312,             0.00086312,             0.00086312
                     43,                  2.291,                 1.6025,                 1.2301,                0.56135,                0.44173,                0.48634,                0.19054,                  2.226,                 1.5171,                 1.2028,             0.00084897,             0.00084897,             0.00084897
                     44,                 2.3059,                 1.5914,                 1.2411,                0.57791,                0.43778,                0.46966,                0.18028,                 2.2454,                 1.5556,                 1.2194,             0.00083482,             0.00083482,             0.00083482
